Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 01:27:00, Changes= 1, Duration= 9, Cost= 622
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 17:16:00, Changes= 2, Duration= 11, Cost= 454
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 23:41:00, Changes= 1, Duration= 10, Cost= 539
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 19:29:00, Changes= 3, Duration= 13, Cost= 405
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 23:28:00, Changes= 1, Duration= 11, Cost= 423
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 10:16:00, Changes= 3, Duration= 15, Cost= 422
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 23:34:00, Changes= 3, Duration= 11, Cost= 372
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 08:12:00, Changes= 1, Duration= 10, Cost= 421
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 15:46:00, Changes= 5, Duration= 17, Cost= 345
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 13:11:00, Changes= 5, Duration= 17, Cost= 223
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 16:34:00, Changes= 0, Duration= 8, Cost= 602
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 17:48:00, Changes= 2, Duration= 10, Cost= 472
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 19:22:00, Changes= 0, Duration= 8, Cost= 591
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 08:33:00, Changes= 0, Duration= 8, Cost= 633
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 16:40:00, Changes= 5, Duration= 17, Cost= 215
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 00:17:00, Changes= 5, Duration= 24, Cost= 168
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 17:11:00, Changes= 1, Duration= 9, Cost= 545
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 22:15:00, Changes= 5, Duration= 19, Cost= 220
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 13:26:00, Changes= 1, Duration= 8, Cost= 576
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 05:31:00, Changes= 5, Duration= 14, Cost= 160
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 20:14:00, Changes= 0, Duration= 8, Cost= 677
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 05:08:00, Changes= 4, Duration= 13, Cost= 230
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 04:16:00, Changes= 1, Duration= 11, Cost= 457
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 08:20:00, Changes= 2, Duration= 9, Cost= 423
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 02:12:00, Changes= 2, Duration= 15, Cost= 533
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 13:25:00, Changes= 4, Duration= 12, Cost= 295
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 06:25:00, Changes= 2, Duration= 14, Cost= 475
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 07:10:00, Changes= 1, Duration= 10, Cost= 536
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 00:36:00, Changes= 1, Duration= 8, Cost= 637
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 04:26:00, Changes= 4, Duration= 21, Cost= 434
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 06:54:00, Changes= 5, Duration= 14, Cost= 242
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 23:33:00, Changes= 4, Duration= 12, Cost= 254
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 20:30:00, Changes= 5, Duration= 13, Cost= 165
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 01:07:00, Changes= 1, Duration= 11, Cost= 557
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 14:26:00, Changes= 3, Duration= 18, Cost= 425
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 07:59:00, Changes= 0, Duration= 9, Cost= 629
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 21:41:00, Changes= 2, Duration= 10, Cost= 439
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 00:48:00, Changes= 0, Duration= 8, Cost= 550
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 02:35:00, Changes= 4, Duration= 17, Cost= 210
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 15:22:00, Changes= 0, Duration= 8, Cost= 700
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 16:52:00, Changes= 1, Duration= 10, Cost= 433
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 02:17:00, Changes= 5, Duration= 14, Cost= 276
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 08:46:00, Changes= 1, Duration= 11, Cost= 432
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 06:05:00, Changes= 0, Duration= 8, Cost= 668
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 18:17:00, Changes= 0, Duration= 8, Cost= 534
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 19:24:00, Changes= 1, Duration= 12, Cost= 529
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 11:02:00, Changes= 1, Duration= 8, Cost= 581
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 03:26:00, Changes= 4, Duration= 16, Cost= 401
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 19:26:00, Changes= 5, Duration= 24, Cost= 276
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 13:27:00, Changes= 1, Duration= 10, Cost= 498
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 00:23:00, Changes= 2, Duration= 13, Cost= 442
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 20:37:00, Changes= 5, Duration= 13, Cost= 444
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 11:48:00, Changes= 0, Duration= 8, Cost= 601
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 23:29:00, Changes= 4, Duration= 21, Cost= 304
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 15:41:00, Changes= 1, Duration= 9, Cost= 566
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 19:13:00, Changes= 3, Duration= 16, Cost= 273
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 15:09:00, Changes= 2, Duration= 11, Cost= 480
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 04:22:00, Changes= 5, Duration= 13, Cost= 171
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 12:46:00, Changes= 3, Duration= 15, Cost= 293
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 19:37:00, Changes= 3, Duration= 14, Cost= 468
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 23:41:00, Changes= 5, Duration= 24, Cost= 172
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 05:37:00, Changes= 0, Duration= 8, Cost= 585
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 22:03:00, Changes= 1, Duration= 10, Cost= 611
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 19:27:00, Changes= 3, Duration= 10, Cost= 322
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 16:48:00, Changes= 3, Duration= 16, Cost= 308
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 08:41:00, Changes= 5, Duration= 12, Cost= 248
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 23:32:00, Changes= 0, Duration= 7, Cost= 503
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 15:31:00, Changes= 4, Duration= 17, Cost= 130
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 23:36:00, Changes= 2, Duration= 15, Cost= 552
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 01:23:00, Changes= 0, Duration= 9, Cost= 531
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 14:09:00, Changes= 3, Duration= 10, Cost= 403
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 08:43:00, Changes= 3, Duration= 15, Cost= 444
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 02:38:00, Changes= 2, Duration= 14, Cost= 421
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 02:08:00, Changes= 5, Duration= 14, Cost= 314
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 06:22:00, Changes= 2, Duration= 10, Cost= 443
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 03:50:00, Changes= 5, Duration= 23, Cost= 233
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 11:40:00, Changes= 1, Duration= 11, Cost= 590
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 17:21:00, Changes= 0, Duration= 7, Cost= 683
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 18:27:00, Changes= 4, Duration= 15, Cost= 425
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 19:39:00, Changes= 5, Duration= 24, Cost= 193
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 02:55:00, Changes= 4, Duration= 16, Cost= 412
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 02:32:00, Changes= 2, Duration= 11, Cost= 382
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 14:29:00, Changes= 1, Duration= 10, Cost= 462
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 18:16:00, Changes= 4, Duration= 17, Cost= 296
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 11:02:00, Changes= 1, Duration= 10, Cost= 455
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 17:27:00, Changes= 1, Duration= 11, Cost= 463
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 05:56:00, Changes= 5, Duration= 14, Cost= 144
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 19:31:00, Changes= 2, Duration= 13, Cost= 428
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 16:29:00, Changes= 1, Duration= 12, Cost= 517
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 13:08:00, Changes= 0, Duration= 7, Cost= 588
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 20:01:00, Changes= 0, Duration= 9, Cost= 511
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 01:16:00, Changes= 4, Duration= 13, Cost= 338
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 07:47:00, Changes= 4, Duration= 16, Cost= 158
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 22:56:00, Changes= 2, Duration= 14, Cost= 515
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 12:51:00, Changes= 1, Duration= 11, Cost= 533
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 13:13:00, Changes= 5, Duration= 17, Cost= 175
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 02:55:00, Changes= 0, Duration= 8, Cost= 691
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 16:14:00, Changes= 3, Duration= 15, Cost= 330
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 13:35:00, Changes= 5, Duration= 14, Cost= 117
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 19:37:00, Changes= 1, Duration= 11, Cost= 552
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 14:16:00, Changes= 2, Duration= 12, Cost= 456
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 10:30:00, Changes= 2, Duration= 11, Cost= 489
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 22:56:00, Changes= 4, Duration= 19, Cost= 205
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 16:41:00, Changes= 0, Duration= 9, Cost= 524
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 09:49:00, Changes= 0, Duration= 7, Cost= 517
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 04:09:00, Changes= 5, Duration= 13, Cost= 184
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 12:30:00, Changes= 4, Duration= 11, Cost= 279
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 12:19:00, Changes= 5, Duration= 18, Cost= 188
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 13:08:00, Changes= 2, Duration= 11, Cost= 392
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 02:32:00, Changes= 3, Duration= 18, Cost= 384
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 19:20:00, Changes= 4, Duration= 15, Cost= 182
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 11:22:00, Changes= 4, Duration= 12, Cost= 199
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 21:36:00, Changes= 4, Duration= 15, Cost= 357
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 14:18:00, Changes= 1, Duration= 10, Cost= 495
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 05:46:00, Changes= 5, Duration= 17, Cost= 84
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 04:10:00, Changes= 4, Duration= 17, Cost= 397
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 16:23:00, Changes= 1, Duration= 10, Cost= 490
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 20:20:00, Changes= 4, Duration= 12, Cost= 411
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 08:03:00, Changes= 3, Duration= 11, Cost= 299
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 08:00:00, Changes= 4, Duration= 20, Cost= 394
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 22:29:00, Changes= 2, Duration= 11, Cost= 478
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 06:27:00, Changes= 1, Duration= 11, Cost= 467
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 13:00:00, Changes= 5, Duration= 18, Cost= 140
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 21:46:00, Changes= 5, Duration= 24, Cost= 304
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 23:47:00, Changes= 2, Duration= 9, Cost= 451
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 02:27:00, Changes= 4, Duration= 16, Cost= 292
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 22:36:00, Changes= 5, Duration= 18, Cost= 240
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 10:57:00, Changes= 2, Duration= 12, Cost= 490
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 16:39:00, Changes= 0, Duration= 9, Cost= 687
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 09:27:00, Changes= 4, Duration= 16, Cost= 357
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 00:29:00, Changes= 1, Duration= 10, Cost= 525
